,Year,Country,Teen_fertility,ATMs,Compulsory_Ed,GDP_pc,Immunization_measles,Internet_use,Maternal_mort_ratio,Region,Continent,log_ATMs,log_MMR,log_GDP,log_internet
29,2010,Canada,12.3764,218.155707363751,10.0,47447.4760241936,90.0,80.3,8.0,Northern America,North America,5.385209061793284,2.0794415416798357,10.767378610298625,4.385769620952716
30,2010,Central African Republic,114.878,0.664211169140593,10.0,446.443687795492,53.0,2.0,909.0,Middle Africa,Africa,-0.4091551542510472,6.812345094177479,6.101313273203831,0.6931471805599453
31,2010,Chad,185.364,0.425380420982642,10.0,896.569734113861,46.0,1.7,1040.0,Middle Africa,Africa,-0.8547714022337096,6.946975992135418,6.7985760748654585,0.5306282510621704
32,2010,Chile,52.0394,62.2353904887474,12.0,12860.1776447469,93.0,45.0,26.0,South America,South America,4.130923816856771,3.258096538021482,9.461890811440128,3.8066624897703196
33,2010,China,6.972,24.6675793633286,9.0,4560.51258600929,99.0,34.3,35.0,Eastern Asia,Asia,3.205489805067556,3.5553480614894135,8.425190305403554,3.535145354171894
34,2010,Colombia,60.0682,34.0124119267588,10.0,6230.73836562837,88.0,36.5,72.0,South America,South America,3.526725514668564,4.276666119016055,8.737250122516187,3.597312260588446
35,2010,Comoros,76.4744,1.96746791797626,6.0,1315.21480648394,72.0,5.1,388.0,Eastern Africa,Africa,0.6767473951923654,5.961005339623274,7.18175528220991,1.62924053973028
36,2010,"Congo, Dem. Rep.",129.9144,0.405733702065657,6.0,334.231702517329,74.0,0.72,794.0,Middle Africa,Africa,-0.9020582408232339,6.677083461247136,5.811834472575893,-0.3285040669720361
37,2010,"Congo, Rep.",125.0662,1.87593283691461,10.0,2737.34233022991,75.0,5.0,509.0,Middle Africa,Africa,0.629106048724929,6.2324480165505225,7.914742776202981,1.6094379124341003
38,2010,Costa Rica,61.2344,43.7269095518065,11.0,8199.41462069479,83.0,36.5,29.0,Central America,North America,3.7779636918048576,3.367295829986474,9.011818042983972,3.597312260588446
39,2010,Cote d'Ivoire,137.0392,3.71975650665558,10.0,1219.74909551521,70.0,2.7,717.0,Western Africa,Africa,1.3136582109426571,6.57507584059962,7.106400457162743,0.9932517730102834
40,2010,Croatia,12.5344,101.564449295443,8.0,13546.2142077544,96.0,56.55,10.0,Southern Europe,Europe,4.6206935654026955,2.302585092994046,9.513862393008331,4.03512520256213
41,2010,Cuba,49.3454,39.12637923026041,9.0,5676.14140269906,99.0,15.9,44.0,Caribbean,North America,3.666796900130624,3.784189633918261,8.644026950354942,2.766319109226186
42,2010,Cyprus,5.6706,71.7600239783496,10.0,30818.4639574235,87.0,52.99,8.0,Western Asia,Asia,4.27332755189694,2.0794415416798357,10.335869268482956,3.9701032165046706
43,2010,Czech Republic,11.075,41.6580145507617,9.0,19808.0710912518,98.0,68.82,5.0,Eastern Europe,Europe,3.7294937762900635,1.6094379124341003,9.893844764495038,4.231494400369335
44,2010,Denmark,5.0092,63.1386169648645,9.0,58041.4112245601,85.0,88.72,7.0,Northern Europe,Europe,4.145332578627424,1.9459101490553132,10.96891202139171,4.485485343042112
45,2010,Djibouti,23.152,2.88493092393519,10.0,1325.99072352076,85.0,6.5,275.0,Eastern Africa,Africa,1.05950095649671,5.616771097666572,7.189915174884806,1.8718021769015913
46,2010,Dominican Republic,103.8548,28.4818678211474,15.0,5453.92686069139,85.0,31.4,75.0,Caribbean,North America,3.349267668000968,4.31748811353631,8.604091153101349,3.4468078929142076
47,2010,Ecuador,79.5994,44.6977013453099,10.0,4657.3023611471,95.0,29.03,75.0,South America,South America,3.7999220762549775,4.31748811353631,8.446191667039056,3.3683297780365384
48,2010,"Egypt, Arab Rep.",52.272,8.44031962217621,9.0,2602.47954869567,96.0,21.6,40.0,Northern Africa,Africa,2.1330201778169093,3.6888794541139363,7.864219942128053,3.0726933146901194
49,2010,El Salvador,77.1074,29.3370444575991,9.0,2992.54527363055,92.0,15.9,59.0,Central America,North America,3.3788510334076425,4.07753744390572,8.00387956635045,2.766319109226186
50,2010,Equatorial Guinea,169.9012,2.90315419164233,6.0,17136.4456757583,51.0,6.0,379.0,Middle Africa,Africa,1.0657977982176778,5.937536205082426,9.748962800505154,1.791759469228055
51,2010,Eritrea,67.0376,6.118853301343388,8.0,482.1490904235,97.0,0.61,579.0,Eastern Africa,Africa,1.8113747099069213,6.361302477572996,6.1782533824535255,-0.4942963218147801
52,2010,Estonia,18.7038,88.6740663874139,9.0,14638.6048173457,95.0,74.1,8.0,Northern Europe,Europe,4.484967472128522,2.0794415416798357,9.591417483612398,4.3054155323020415
53,2010,Eswatini,86.0412,21.1528873004383,7.0,3690.23922847955,94.0,11.04,436.0,Southern Africa,Africa,3.0517764115620634,6.077642243349034,8.213446566499371,2.401525040848949
54,2010,Ethiopia,78.093,0.29763729561991,8.0,341.309909200504,64.0,0.75,523.0,Eastern Africa,Africa,-1.2118796625717978,6.259581464064923,5.832790889187366,-0.2876820724517809
55,2010,Fiji,43.8366,33.082918568525,9.233532934131736,3651.96678405546,94.0,20.0,34.0,Melanesia,Oceania,3.4990170938490652,3.5263605246161616,8.20302114639843,2.995732273553991
